Run ID,Browser Order,Browser,Timestamp,Total Power(mW),Pre Idle Baseline(mW),Post Idle Baseline(mW),Matched Idle Baseline(mW),Net Browser Power(mW)
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665240,1496.28,1493.95,2711.99,2102.97,0.00
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665241,1496.28,1493.95,2711.99,2102.97,0.00
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665242,1496.28,1493.95,2711.99,2102.97,0.00
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665244,1496.28,1493.95,2711.99,2102.97,0.00
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665245,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665246,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665247,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665248,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665249,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665250,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665251,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665252,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665254,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665255,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665256,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665257,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665258,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665259,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665260,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665262,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665263,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665264,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665265,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665266,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665267,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665268,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665269,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665270,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665271,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665272,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665273,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665274,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665275,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665276,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665277,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665278,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665279,8289.33,1493.95,2711.99,2102.97,6186.36
8ac41ed7-9cf6-4c1e-87d5-8005e1445227,1,Safari,1776665281,8289.33,1493.95,2711.99,2102.97,6186.36
